,junsi_name,start,end,place
203,코로나19를 대하는 우리의 자세,2021.03.23.,2021.07.25.,소마미술관
204,"마주하는 풍경, 일상의 시선",2021.03.23.,2021.07.25.,소마미술관
205,거울 속의 거울,2021.03.11.,2021.07.25.,석파정서울미술관
206,빛을 펼치다-국보 제299호 공주 신원사 괘불,2021.04.28.,2021.09.26.,국립중앙박물관
207,게르하르트 리히터 : 4900가지 색채,2021.03.12.,2021.07.18.,에스파스 루이 비통 서울
208,블록시티,2021.02.16.,2022.01.31.,글로벌지식협력단지
209,그 때 그 시절: 우리집,2021.02.16.,2021.07.31.,한국경제발전전시관
210,이헌정 : 흙의 일상,2021.03.18.,2021.08.22.,아라리오뮤지엄 인 스페이스
211,"교과서, 우리들의 이야기",2021.03.09.,2021.08.31.,송파책박물관
212,"청계, 내청춘, 나의 봄",2020.09.24.,2021.08.15.,전태일기념관
213,"오랜 기다림, 영원한 동행",2020.11.28.,2021.11.27.,절두산순교성지
214,와당탕퉁탕,2020.12.12.,2021.09.09.,서울시립 북서울미술관
215,무민 오리지널 : 무민 75주년 특별 원화전,2020.11.13.,2021.11.14.,그라운드시소 성수
216,박노해 사진전 : 길,2020.09.01.,2021.06.06.,라 카페 갤러리
217,스위트 팝,2020.08.21.,2021.09.30.,K현대미술관
218,이영란의 감성체험 가루나무모래흙 서울,2019.11.29.,오픈런,유니버설아트센터
219,"헬로우,심쿵(hello,심쿵)展",2019.07.03.,오픈런,인사동 쌈지길기획전시실 B2
220,지속 가능한 미술관 : 미술과 환경,2021.05.04.,2021.09.22.,부산현대미술관
221,Open Museum Garden : 우리들의 정원,2021.05.01.,2021.10.31.,소다미술관
222,LOVE IS LOVE : 밤새워 말해봐도,2021.05.01.,2021.10.17.,소다미술관
223,"문방제구文房諸具, 무형문화재와 함께하다",2021.05.05.,2021.11.28.,벽봉한국장신구박물관
224,시간여행사 타임워커,2021.04.23.,2021.08.29.,부산현대미술관
225,"사라지다, 살아지다.",2021.04.16.,2021.11.19.,홍티아트센터
226,이토록 아름다운 : The Nature of Art,2021.04.23.,2021.09.12.,부산시립미술관 본관 3층
227,고유진 : 장소 상실,2021.04.22.,2021.10.03.,뮤지엄그라운드
228,전광영 : Chapter. 3 : 집합 화법의 완성기 1996-2003,2021.04.22.,2021.10.03.,뮤지엄그라운드
229,정찬부 : 곰돌이 J의 2050년으로부터 온 초대장,2021.04.22.,2021.10.03.,뮤지엄그라운드
230,□이 살아가는 새로운 방식,2021.02.10.,2021.06.20.,수원시립아이파크미술관
231,웃어,2021.04.01.,2022.02.02.,백남준아트센터
232,이름 없는 땅,2021.04.19.,2021.12.31.,"연천 고랑포구 역사공원, 고성 통일전망 타워"
233,#보따리바캉스,2021.04.13.,2021.08.29.,현대어린이책미술관
234,거대한 일상 : 지층의 역전,2021.03.31.,2021.08.22.,부산시립미술관
235,코리요&둘리 아기공룡의 만남,2021.04.30.,2021.10.10.,화성시어린이문화센터
236,INTER-MISSION,2021.04.01.,2021.08.29.,파라다이스 아트스페이스
237,BMA 소장품 하이라이트3_ 경계 위의 유랑자,2021.03.05.,2021.08.15.,부산시립미술관
238,네버랜드 사운드랜드 : 권병준 - 소리산책,2021.01.29.,2021.08.22.,부산시립미술관
239,신축년 반갑소,2021.01.01.,2021.12.31.,수원광교박물관
240,signed & numbered artworks,2021.01.02.,2021.08.31.,구하우스
241,서풍만리 - 조선서예 500년,2020.12.23.,2021.06.30.,수원박물관 2층 상설전시실
242,다향다색茶香多色 : 차문화 속 청자 이야기,2020.12.04.,2021.06.27.,곤지암도자공원경기도자박물관
243,모네 빛을 그리다 展 III - 영혼의 뮤즈,2021.03.10.,오픈런,본다빈치 뮤지엄 일산
244,뮤지엄 오브 일루전,2020.05.16.,오픈런,뮤지엄오브일루전
245,수퍼 네이처,2020.09.12.,오픈런,뮤지엄 다
246,드라이브 스루 견생작품전,2020.06.01.,오픈런,장흥자연휴양림
247,빽투더래옹,2020.04.08.,오픈런,래옹갤러리
248,황금비율 칠대일,2021.03.16.,2021.07.18.,DMA아트센터
249,그래픽줍기展,2021.03.04.,2021.08.31.,잇츠룸 갤러리카페
250,리암길릭 : The Work Life Effect,2021.02.25.,2021.06.27.,광주시립미술관
251,첫 번째 10년,2021.02.23.,2021.06.27.,대구미술관
252,푸룻푸룻동성로 : 푸룻토피아,2020.07.17.,오픈런,대현프리몰대구
253,미술상회,2021.05.27.,2021.10.12.,아미미술관
254,예울마루 야외 조각展,2021.04.26.,2021.11.30.,예울마루 장도 야외 일원
255,신자연주의 - 리좀이 화엄을 만날 때,2021.03.12.,2021.07.25.,전북도립미술관
256,13번째 망설임,2021.04.13.,2022.03.27.,아라리오갤러리
257,나의 정원... 모두의 정원,2021.04.01.,2021.12.31.,아미미술관
